motif_id	cisbp_tf_id	archive_motif_id	tf_status	tf_name	source_file	alternative_count	alternatives	status
M09600_2.00	T337444_3.10	M09600_3.10	D	STAT1	TF_Information.txt	0		OK
M09601_2.00	T342320_3.10	M09601_3.10	D	TBP	TF_Information.txt	1	T342321_3.10	AMBIGUOUS
M09602_2.00	T094778_3.10	M09602_3.10	D	ZNF200	TF_Information.txt	0		OK
M09603_2.00	T094786_3.10	M09603_3.10	D	ZIC2	TF_Information.txt	0		OK
M09604_2.00	T094806_3.10	M09604_3.10	D	ZNF416	TF_Information.txt	0		OK
M09605_2.00	T094809_3.10	M09605_3.10	D	ZNF264	TF_Information.txt	0		OK
M09606_2.00	T094821_3.10	M09606_3.10	D	MZF1	TF_Information.txt	0		OK
M09607_2.00	T094823_3.10	M09607_3.10	D	YY1	TF_Information.txt	0		OK
M09608_2.00	T094831_3.10	M09608_3.10	D	CTCF	TF_Information.txt	0		OK
M09609_2.00	T094842_3.10	M09609_3.10	D	ZNF574	TF_Information.txt	0		OK
M09610_2.00	T094862_3.10	M09610_3.10	D	ZNF684	TF_Information.txt	0		OK
M09611_2.00	T094888_3.10	M09611_3.10	D	ZNF45	TF_Information.txt	0		OK
M09612_2.00	T094914_3.10	M09612_3.10	D	ZNF317	TF_Information.txt	0		OK
M09613_2.00	T094932_3.10	M09613_3.10	D	KLF4	TF_Information.txt	0		OK
M09614_2.00	T094934_3.10	M09614_3.10	D	ZNF189	TF_Information.txt	0		OK
M09615_2.00	T094963_3.10	M09615_3.10	D	ZNF41	TF_Information.txt	0		OK
M09616_2.00	T094987_3.10	M09616_3.10	D	KLF10	TF_Information.txt	0		OK
M09617_2.00	T095009_3.10	M09617_3.10	D	ZNF382	TF_Information.txt	0		OK
M09618_2.00	T095013_3.10	M09618_3.10	D	ZNF653	TF_Information.txt	0		OK
M09619_2.00	T095056_3.10	M09619_3.10	D	ZNF528	TF_Information.txt	0		OK
M09620_2.00	T095085_3.10	M09620_3.10	D	ZNF35	TF_Information.txt	0		OK
M09621_2.00	T095092_3.10	M09621_3.10	D	ZNF16	TF_Information.txt	0		OK
M09622_2.00	T095095_3.10	M09622_3.10	D	ZNF415	TF_Information.txt	0		OK
M09623_2.00	T095097_3.10	M09623_3.10	D	ZNF692	TF_Information.txt	0		OK
M09624_2.00	T095123_3.10	M09624_3.10	D	ZNF621	TF_Information.txt	0		OK
M09625_2.00	T095140_3.10	M09625_3.10	D	ZNF519	TF_Information.txt	0		OK
M09626_2.00	T095166_3.10	M09626_3.10	D	ZNF454	TF_Information.txt	0		OK
