source	motif_id	mapped_id	label	url	note
cisbp	M04256_2.00	T059768_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059768_3.10	CisBP TF report page
cisbp	M04257_2.00	T059770_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059770_3.10	CisBP TF report page
cisbp	M04258_2.00	T010820_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_3.10	CisBP TF report page
cisbp	M04259_2.00	T010820_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010820_3.10	CisBP TF report page
cisbp	M04260_2.00	T010822_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_3.10	CisBP TF report page
cisbp	M04261_2.00	T010822_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010822_3.10	CisBP TF report page
cisbp	M04262_2.00	T010823_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010823_3.10	CisBP TF report page
cisbp	M04263_2.00	T010823_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010823_3.10	CisBP TF report page
cisbp	M04264_2.00	T010823_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010823_3.10	CisBP TF report page
cisbp	M04265_2.00	T010823_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010823_3.10	CisBP TF report page
cisbp	M04266_2.00	T010824_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010824_3.10	CisBP TF report page
cisbp	M04267_2.00	T010824_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T010824_3.10	CisBP TF report page
cisbp	M04268_2.00	T025994_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T025994_3.10	CisBP TF report page
cisbp	M04269_2.00	T025994_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T025994_3.10	CisBP TF report page
cisbp	M04270_2.00	T034247_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034247_3.10	CisBP TF report page
cisbp	M04271_2.00	T034247_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034247_3.10	CisBP TF report page
cisbp	M04272_2.00	T034248_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034248_3.10	CisBP TF report page
cisbp	M04273_2.00	T034248_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034248_3.10	CisBP TF report page
cisbp	M04274_2.00	T034251_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034251_3.10	CisBP TF report page
cisbp	M04275_2.00	T034251_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034251_3.10	CisBP TF report page
cisbp	M04276_2.00	T034251_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034251_3.10	CisBP TF report page
cisbp	M04277_2.00	T034251_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034251_3.10	CisBP TF report page
cisbp	M04278_2.00	T034253_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034253_3.10	CisBP TF report page
cisbp	M04279_2.00	T034253_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034253_3.10	CisBP TF report page
cisbp	M04280_2.00	T034253_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034253_3.10	CisBP TF report page
cisbp	M04281_2.00	T034253_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034253_3.10	CisBP TF report page
cisbp	M04282_2.00	T034253_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034253_3.10	CisBP TF report page
cisbp	M04283_2.00	T034253_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034253_3.10	CisBP TF report page
cisbp	M04284_2.00	T034253_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034253_3.10	CisBP TF report page
cisbp	M04285_2.00	T034253_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034253_3.10	CisBP TF report page
cisbp	M04286_2.00	T034255_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034255_3.10	CisBP TF report page
cisbp	M04287_2.00	T034255_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034255_3.10	CisBP TF report page
cisbp	M04288_2.00	T034257_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034257_3.10	CisBP TF report page
cisbp	M04289_2.00	T034257_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034257_3.10	CisBP TF report page
cisbp	M04290_2.00	T034258_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034258_3.10	CisBP TF report page
cisbp	M04291_2.00	T034258_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034258_3.10	CisBP TF report page
cisbp	M04292_2.00	T034260_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034260_3.10	CisBP TF report page
cisbp	M04293_2.00	T034260_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034260_3.10	CisBP TF report page
cisbp	M04294_2.00	T034260_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034260_3.10	CisBP TF report page
cisbp	M04295_2.00	T034260_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034260_3.10	CisBP TF report page
cisbp	M04296_2.00	T034261_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034261_3.10	CisBP TF report page
cisbp	M04297_2.00	T034261_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034261_3.10	CisBP TF report page
cisbp	M04298_2.00	T034261_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034261_3.10	CisBP TF report page
cisbp	M04299_2.00	T034261_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034261_3.10	CisBP TF report page
cisbp	M04300_2.00	T034264_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034264_3.10	CisBP TF report page
cisbp	M04301_2.00	T034264_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034264_3.10	CisBP TF report page
cisbp	M04302_2.00	T034266_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034266_3.10	CisBP TF report page
cisbp	M04303_2.00	T034266_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034266_3.10	CisBP TF report page
cisbp	M04304_2.00	T034269_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034269_3.10	CisBP TF report page
cisbp	M04305_2.00	T034269_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034269_3.10	CisBP TF report page
cisbp	M04306_2.00	T034269_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034269_3.10	CisBP TF report page
cisbp	M04307_2.00	T034269_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034269_3.10	CisBP TF report page
cisbp	M04308_2.00	T034271_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034271_3.10	CisBP TF report page
cisbp	M04309_2.00	T034271_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034271_3.10	CisBP TF report page
cisbp	M04310_2.00	T034272_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034272_3.10	CisBP TF report page
cisbp	M04311_2.00	T034272_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034272_3.10	CisBP TF report page
cisbp	M04312_2.00	T034272_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034272_3.10	CisBP TF report page
cisbp	M04313_2.00	T034272_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034272_3.10	CisBP TF report page
cisbp	M04314_2.00	T034272_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034272_3.10	CisBP TF report page
cisbp	M04315_2.00	T034272_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034272_3.10	CisBP TF report page
cisbp	M04316_2.00	T034272_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034272_3.10	CisBP TF report page
cisbp	M04317_2.00	T034272_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034272_3.10	CisBP TF report page
cisbp	M04318_2.00	T034275_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034275_3.10	CisBP TF report page
cisbp	M04319_2.00	T034275_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034275_3.10	CisBP TF report page
cisbp	M04320_2.00	T034280_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034280_3.10	CisBP TF report page
cisbp	M04321_2.00	T034280_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034280_3.10	CisBP TF report page
cisbp	M04322_2.00	T034280_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034280_3.10	CisBP TF report page
cisbp	M04323_2.00	T034280_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034280_3.10	CisBP TF report page
cisbp	M04324_2.00	T034282_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034282_3.10	CisBP TF report page
cisbp	M04325_2.00	T034282_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034282_3.10	CisBP TF report page
