motif_id	jaspar_name	jaspar_uniprot_id	tf_exists_in_modcredb	motif_file_exists	motif_ref_exists	db_evidence_type	db_mapping_type	matrix_status	status
MA0047.2	Foxa2		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0047.3	FOXA2		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0047.4	FOXA2		not_assessed	yes	no			usable	metadata_unavailable
MA0048.1	NHLH1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0048.2	NHLH1		not_assessed	yes	no			usable	metadata_unavailable
MA0048.3	NHLH1		not_assessed	yes	no			usable	metadata_unavailable
MA0049.1	hb		not_assessed	yes	no			usable	metadata_unavailable
MA0050.1	IRF1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0050.2	IRF1		not_assessed	yes	no			usable	metadata_unavailable
MA0050.3	Irf1		not_assessed	yes	no			usable	metadata_unavailable
MA0050.4	Irf1		not_assessed	yes	no			usable	metadata_unavailable
MA0051.1	IRF2		not_assessed	yes	yes	homologous;identical	close_homolog;direct_or_identical	usable	metadata_unavailable
MA0051.2	IRF2		not_assessed	yes	no			usable	metadata_unavailable
MA0052.1	MEF2A		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0052.2	MEF2A		not_assessed	yes	no			usable	metadata_unavailable
MA0052.3	MEF2A		not_assessed	yes	no			usable	metadata_unavailable
MA0052.4	MEF2A		not_assessed	yes	no			usable	metadata_unavailable
MA0052.5	MEF2A		not_assessed	yes	no			usable	metadata_unavailable
MA0053.1	MNB1A		not_assessed	yes	no			usable	metadata_unavailable
MA0054.1	myb.Ph3		not_assessed	yes	no			usable	metadata_unavailable
MA0056.1	MZF1		not_assessed	yes	yes	identical;relative_homologous	direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0056.2	MZF1		not_assessed	yes	no			usable	metadata_unavailable
MA0056.3	MZF1		not_assessed	yes	no			usable	metadata_unavailable
MA0058.1	MAX		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0058.2	MAX		not_assessed	yes	no			usable	metadata_unavailable
MA0058.3	MAX		not_assessed	yes	no			usable	metadata_unavailable
MA0058.4	MAX		not_assessed	yes	no			usable	metadata_unavailable
MA0059.1	MAX::MYC		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0059.2	MAX::MYC		not_assessed	yes	no			usable	metadata_unavailable
MA0060.1	NFYA		not_assessed	yes	yes	homologous;identical	close_homolog;direct_or_identical	usable	metadata_unavailable
MA0060.2	NFYA		not_assessed	yes	no			usable	metadata_unavailable
MA0060.3	NFYA		not_assessed	yes	no			usable	metadata_unavailable
MA0060.4	NFYA		not_assessed	yes	no			usable	metadata_unavailable
MA0062.1	GABPA		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0062.2	Gabpa		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0062.3	GABPA		not_assessed	yes	no			usable	metadata_unavailable
MA0062.4	GABPA		not_assessed	yes	no			usable	metadata_unavailable
MA0063.1	Nkx2-5		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0063.2	NKX2-5		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0063.3	NKX2-5		not_assessed	yes	no			usable	metadata_unavailable
MA0064.1	PBF		not_assessed	yes	no			usable	metadata_unavailable
MA0065.1	PPARG	P37231	yes	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	ok_link_present
MA0065.2	Pparg::Rxra		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0065.3	Pparg::Rxra		not_assessed	yes	no			usable	metadata_unavailable
MA0066.1	PPARG		not_assessed	yes	no			usable	metadata_unavailable
MA0066.2	PPARG		not_assessed	yes	no			usable	metadata_unavailable
MA0067.1	Pax2		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0067.2	PAX2		not_assessed	yes	no			usable	metadata_unavailable
